,grp,variable,value
218,13_2,3_6,0.0005641933907572481
219,13_2,3_7,0.00015187961743669915
220,13_2,3_8,0.01841826963262639
221,13_2,3_9,0.05090878768210578
222,13_2,3_10,0.0025242971647728334
223,13_2,3_11,0.0069925863743727605
224,13_2,3_12,0.0017057422623079873
225,13_2,3_13,0.014491998445086276
226,13_2,3_14,0.01344247436660833
227,13_2,3_15,0.010290289040174141
228,13_2,3_16,0.004588498217032878
229,13_2,3_17,0.01393115508100245
230,13_2,3_18,0.0003795642983977292
231,13_2,3_19,0.00023045478800201978
232,13_2,3_20,0.06726351229503381
233,13_2,3_21,0.016423522348183183
234,13_2,3_22,0.05711282807298457
235,13_2,4_1,0.0077157571729548746
236,13_2,4_2,0.021194122445663613
237,13_2,4_3,0.0008436552542234028
238,13_2,4_4,0.000564284826574245
239,13_2,4_5,0.007591595438509808
240,13_2,4_6,1.1761479312581009e-05
241,13_2,4_7,0.00022910988830993477
242,13_2,4_8,0.008461549250762751
243,13_2,4_9,0.025467342765429054
244,13_2,4_10,0.0016115012929834493
245,13_2,1_1,0.0006618823588835826
246,13_2,1_2,0.0001326825536995636
247,13_2,1_3,0.006204656916184993
248,13_2,1_4,0.012343136913186985
249,13_2,1_5,0.0272466941314814
250,13_2,1_6,0.0007986850324997103
251,13_2,1_7,0.018173881610678955
252,13_2,1_8,0.015267464144589342
253,13_2,1_9,0.024632805624996174
254,13_2,1_10,0.0020435352164566967
255,13_2,1_11,0.008998529223608023
256,13_3,13_1,5.841533642897055e-05
257,13_3,13_2,0.08350381074051297
258,13_3,13_3,1.0
259,13_3,13_4,0.03737421372196493
260,13_3,14_1,0.0008227873939792473
261,13_3,14_2,0.0013736349593714058
262,13_3,14_3,0.00040421754665096794
263,13_3,14_4,0.0006606247493461541
264,13_3,14_5,0.004270543079940395
265,13_3,14_6,0.0005372460935678049
266,13_3,14_7,6.515844873735067e-05
267,13_3,11_1,0.003471504791241324
268,13_3,11_2,0.00015557674938506316
269,13_3,11_3,0.002321117699672882
270,13_3,11_4,0.005252039478501218
271,13_3,11_5,0.0016769579965332927
272,13_3,11_6,0.0042475628275534935
273,13_3,8_1,1.9601771778995666e-05
274,13_3,8_2,0.026272204054139336
275,13_3,8_3,0.03089267090646371
276,13_3,8_4,0.029172186906002748
277,13_3,8_5,0.004639643591031497
278,13_3,8_6,0.05341901691859589
279,13_3,7_1,0.009903513212527333
280,13_3,7_2,0.0026666429259150147
281,13_3,7_3,0.0020029915741482346
282,13_3,7_4,0.0005702951191405073
283,13_3,7_5,0.023956778419545424
284,13_3,7_6,0.004453276046587854
285,13_3,7_7,0.005276077142349439
286,13_3,7_8,0.006682980215283317
287,13_3,7_9,0.005418688677460248
288,13_3,7_10,0.012316936533117336
289,13_3,7_11,0.002078753164671306
290,13_3,10_1,0.004477677846548446
291,13_3,10_2,0.01906051352683652
292,13_3,10_3,0.013591393871588675
293,13_3,10_4,0.0009472572809662335
294,13_3,10_5,0.001653434588492926
295,13_3,10_6,0.0006866646314027781
296,13_3,12_1,6.913624183341394e-06
297,13_3,12_2,0.006360966924922097
298,13_3,12_3,0.002159395803543613
299,13_3,12_4,0.044836222118151296
300,13_3,6_1,0.001976855882257691
301,13_3,6_2,0.004918918339513503
302,13_3,6_3,0.004747909934572567
303,13_3,6_4,0.004420259053566298
304,13_3,6_5,0.002747804578489485
305,13_3,6_6,6.517970844142779e-05
306,13_3,6_7,3.23761643008191e-05
307,13_3,6_8,0.00020663881229719656
308,13_3,9_1,0.0008639817568164984
309,13_3,9_2,0.0006689035479470008
310,13_3,9_3,0.006426892752789278
311,13_3,9_4,0.00013679563003521694
312,13_3,9_5,0.0026267947160862064
313,13_3,9_6,4.294433176651185e-05
314,13_3,9_7,0.0001066740152601442
315,13_3,9_8,0.030448268203086583
316,13_3,9_9,1.0406375781948523e-06
317,13_3,9_10,0.0050132549679976915
318,13_3,9_11,0.0026423628568865744
319,13_3,9_12,0.0012298252667036727
320,13_3,9_13,0.0019019740732636719
321,13_3,2_1,0.031554176411328044
322,13_3,2_2,0.03374036184493684
323,13_3,2_3,6.510497775824194e-05
324,13_3,2_4,0.016338260305220415
325,13_3,2_5,0.027750978066077115
326,13_3,2_6,0.0012990404776885502
327,13_3,5_1,0.004453276046587854
328,13_3,5_2,0.06336156221419283
329,13_3,5_3,0.0562378228464013
330,13_3,5_4,0.004918918339513503
331,13_3,5_5,0.0702742759939372
332,13_3,5_6,0.051632693876542256
333,13_3,5_7,0.004664692064416806
334,13_3,5_8,0.01147150751327315
335,13_3,5_9,0.013565379245856171
336,13_3,5_10,0.04652668115339805
337,13_3,5_11,0.010293371872149891
338,13_3,5_12,0.02922738760260529
339,13_3,5_13,0.014658149609168418
340,13_3,5_14,0.032767808095959694
341,13_3,3_1,0.0005482138458071789
342,13_3,3_2,0.002338538475256099
343,13_3,3_3,6.326693142896259e-07
344,13_3,3_4,0.017936114081654814
345,13_3,3_5,0.017936114081654814
346,13_3,3_6,0.0013235390847706969
347,13_3,3_7,0.028092411280983758
348,13_3,3_8,0.0031540634875890095
349,13_3,3_9,0.030488738998420355
350,13_3,3_10,0.002276395382422422
351,13_3,3_11,0.009704359223481722
352,13_3,3_12,0.0994482318773922
353,13_3,3_13,0.02185898146939609
354,13_3,3_14,0.006746329882121483
355,13_3,3_15,0.009435605752211057
356,13_3,3_16,0.011019920541577143
357,13_3,3_17,0.012845827647169104
358,13_3,3_18,0.008864889735315011
359,13_3,3_19,0.011179793136267113
360,13_3,3_20,0.06909847985934915
361,13_3,3_21,0.004006866019259704
362,13_3,3_22,0.05605879436313214
363,13_3,4_1,0.007414831286568785
364,13_3,4_2,0.019938528104244596
365,13_3,4_3,0.0001377344817545398
366,13_3,4_4,0.0004943348155232016
367,13_3,4_5,0.03700855138542819
368,13_3,4_6,0.003787815148431268
369,13_3,4_7,0.0016694520865750079
370,13_3,4_8,0.007020593905790784
371,13_3,4_9,0.023914983026793683
372,13_3,4_10,0.007498724929687603
373,13_3,1_1,0.0028582357173020027
374,13_3,1_2,0.004794172904004707
375,13_3,1_3,0.036206257045379206
376,13_3,1_4,0.01978949988603569
377,13_3,1_5,0.03625141096391791
378,13_3,1_6,0.007633706979972764
379,13_3,1_7,0.05350940648264125
380,13_3,1_8,0.026801178983494545
381,13_3,1_9,0.04905955195344522
382,13_3,1_10,0.010081278356968553
383,13_3,1_11,0.04788864306082824
384,13_4,13_1,0.05562610446288893
385,13_4,13_2,0.026095371064750333
386,13_4,13_3,0.03501367633589187
387,13_4,13_4,1.0
388,13_4,14_1,0.001784024962786099
389,13_4,14_2,0.047319677643354346
390,13_4,14_3,0.03187072062992722
391,13_4,14_4,0.06283433984841157
392,13_4,14_5,0.026984150618989216
393,13_4,14_6,0.038883939388270346
394,13_4,14_7,0.007911793231584741
395,13_4,11_1,0.013081468915834083
396,13_4,11_2,0.016856651429541486
397,13_4,11_3,0.005410794171682548
398,13_4,11_4,0.019450642265871843
399,13_4,11_5,0.03192251530862798
400,13_4,11_6,0.019254413004297765
401,13_4,8_1,8.583535140793869e-07
402,13_4,8_2,0.03309845491799967
403,13_4,8_3,0.008889439756040656
404,13_4,8_4,0.008095819757323233
405,13_4,8_5,0.008316840419719508
406,13_4,8_6,0.024769462983973235
407,13_4,7_1,0.0004449352910713778
408,13_4,7_2,0.0020522590740572116
409,13_4,7_3,0.0014791335161631807
410,13_4,7_4,0.013749455110332345
411,13_4,7_5,0.015676429890717936
412,13_4,7_6,0.006140767162458339
413,13_4,7_7,0.022030614081490315
414,13_4,7_8,0.04986103804736717
415,13_4,7_9,0.012716437066287474
416,13_4,7_10,0.038729532477574304
417,13_4,7_11,0.017609858586094675
418,13_4,10_1,0.03187072062992722
419,13_4,10_2,0.02685846727508477
420,13_4,10_3,0.04755587518438186
421,13_4,10_4,0.025579613971544415
422,13_4,10_5,0.019524061564856126
423,13_4,10_6,0.020850365955900133
424,13_4,12_1,0.011413045809911022
425,13_4,12_2,0.0022196163811138377
426,13_4,12_3,0.04345013924485385
427,13_4,12_4,0.026303805684959547
428,13_4,6_1,0.040102696302861514
429,13_4,6_2,0.0419888192435323
430,13_4,6_3,0.035714528953572314
431,13_4,6_4,0.05836205124580511
432,13_4,6_5,0.0935133339904251
433,13_4,6_6,0.05547931976655024
434,13_4,6_7,0.02728698209014538
435,13_4,6_8,0.013905162977186226
436,13_4,9_1,0.027485369638955093
437,13_4,9_2,0.02576053074381501
438,13_4,9_3,0.03973674888205452
439,13_4,9_4,0.011619176312642159
440,13_4,9_5,0.021596640069957478
441,13_4,9_6,0.057949055418277
442,13_4,9_7,0.05516076803165845
443,13_4,9_8,0.014147874277612799
444,13_4,9_9,0.027907239917588186
445,13_4,9_10,0.02671234739072505
446,13_4,9_11,0.055378947294416114
447,13_4,9_12,0.01695528342314505
448,13_4,9_13,0.043917816705751095
449,13_4,2_1,0.007083597699376723
450,13_4,2_2,0.001113312213158743
451,13_4,2_3,0.003424223272043307
452,13_4,2_4,0.011836560079921505
453,13_4,2_5,0.003258263020261569
454,13_4,2_6,0.005994159166195047
455,13_4,5_1,0.05875490165252588
456,13_4,5_2,0.0018556022307901958
457,13_4,5_3,0.01719984260017356
458,13_4,5_4,2.871096830104016e-07
459,13_4,5_5,0.018088410009745665
460,13_4,5_6,0.04339334333291498
461,13_4,5_7,0.004967118232220285
462,13_4,5_8,0.020684754633587932
