grp,variable,value
13_2,11_6,0.02008551501718614
13_2,8_1,0.0018373951101358687
13_2,8_2,0.10518935555286275
13_2,8_3,0.020986794197893587
13_2,8_4,0.024900140348760393
13_2,8_5,0.011261430727274004
13_2,8_6,0.07281261277710453
13_2,7_1,0.000665598003242652
13_2,7_2,0.00011774346249775834
13_2,7_3,0.0003155184183395745
13_2,7_4,0.012045713608932952
13_2,7_5,0.009918123959800594
13_2,7_6,2.0753012611109998e-05
13_2,7_7,0.00900491974295961
13_2,7_8,0.01894677685375112
13_2,7_9,0.0033507412572507523
13_2,7_10,0.0006845876148255101
13_2,7_11,0.00021677770433922578
13_2,10_1,0.013292728804193379
13_2,10_2,0.02460183847062593
13_2,10_3,0.0223834645267618
13_2,10_4,0.012591930133870699
13_2,10_5,0.005675870186695535
13_2,10_6,0.007509135954485109
13_2,12_1,0.004267397593720359
13_2,12_2,0.0006618823588835826
13_2,12_3,0.0040090697518169365
13_2,12_4,0.037288756601852796
13_2,6_1,0.003596609797160094
13_2,6_2,0.00851762106101247
13_2,6_3,0.016193711123380135
13_2,6_4,0.002409354485860424
13_2,6_5,0.017524631006959904
13_2,6_6,0.014450093826911857
13_2,6_7,0.004903911064601261
13_2,6_8,0.0011590119033150301
13_2,9_1,2.3057985398720344e-05
13_2,9_2,0.000752424340104616
13_2,9_3,0.0011881256900587557
13_2,9_4,0.006946723442731025
13_2,9_5,0.0010282507622278159
13_2,9_6,0.0015342565138719603
13_2,9_7,0.005378058600909468
13_2,9_8,0.005847389537414197
13_2,9_9,0.00048505226683950923
13_2,9_10,0.0018565083365695012
13_2,9_11,0.021815867351196713
13_2,9_12,0.002774850962644299
13_2,9_13,0.009404815534575447
13_2,2_1,0.0998983327135538
13_2,2_2,0.020028949679807687
13_2,2_3,0.0027453591467520725
13_2,2_4,2.3831888796995153e-07
13_2,2_5,0.04174669356878127
13_2,2_6,0.0018418535907885388
13_2,5_1,0.01680424695956988
13_2,5_2,0.2482208949894991
13_2,5_3,0.22353882465600416
13_2,5_4,0.0009564634109417352
13_2,5_5,0.05200807511400198
13_2,5_6,0.08657754666307334
13_2,5_7,0.016820300288958367
13_2,5_8,0.01928629525268428
13_2,5_9,0.018092424875091138
13_2,5_10,0.08408105236597238
13_2,5_11,0.020531615470298057
13_2,5_12,0.0593991157250635
13_2,5_13,0.029406088901787836
13_2,5_14,0.06651175816818909
13_2,3_1,0.0005443580341130063
13_2,3_2,0.002322085557961794
13_2,3_3,0.00952091824367574
13_2,3_4,0.003698572837935495
13_2,3_5,0.0009589334676388634
13_2,3_6,0.0005641933907572481
13_2,3_7,0.00015187961743669915
13_2,3_8,0.01841826963262639
13_2,3_9,0.05090878768210578
13_2,3_10,0.0025242971647728334
